,ts_code,name,industry_detail,industry
999,002548.SZ,金新农,农林牧渔-饲料Ⅱ-饲料Ⅲ,农林牧渔
1000,002549.SZ,凯美特气,化工-化学制品-其他化学制品,化工
1001,002550.SZ,千红制药,医药生物-化学制药-化学制剂,医药生物
1002,002551.SZ,尚荣医疗,医药生物-医疗器械Ⅱ-医疗器械Ⅲ,医药生物
1003,002552.SZ,宝鼎科技,机械设备-通用机械-机械基础件,机械设备
1004,002553.SZ,南方轴承,汽车-汽车零部件Ⅱ-汽车零部件Ⅲ,汽车
1005,002554.SZ,惠博普,采掘-采掘服务-油气钻采服务,采掘
1006,002555.SZ,三七互娱,传媒-互联网传媒-互联网信息服务,传媒
1007,002556.SZ,辉隆股份,化工-化学制品-氮肥,化工
1008,002557.SZ,洽洽食品,食品饮料-食品加工-食品综合,食品饮料
1009,002558.SZ,巨人网络,传媒-互联网传媒-移动互联网服务,传媒
1010,002559.SZ,亚威股份,机械设备-通用机械-机床工具,机械设备
1011,002560.SZ,通达股份,电气设备-高低压设备-线缆部件及其他,电气设备
1012,002561.SZ,徐家汇,商业贸易-一般零售-百货,商业贸易
1013,002562.SZ,兄弟科技,化工-化学制品-其他化学制品,化工
1014,002563.SZ,森马服饰,纺织服装-服装家纺-休闲服装,纺织服装
1015,002564.SZ,天沃科技,机械设备-专用设备-冶金矿采化工设备,机械设备
1016,002565.SZ,顺灏股份,轻工制造-包装印刷Ⅱ-包装印刷Ⅲ,轻工制造
1017,002566.SZ,益盛药业,医药生物-中药Ⅱ-中药Ⅲ,医药生物
1018,002567.SZ,唐人神,农林牧渔-饲料Ⅱ-饲料Ⅲ,农林牧渔
1019,002568.SZ,百润股份,食品饮料-饮料制造-其他酒类,食品饮料
1020,002569.SZ,ST步森,纺织服装-服装家纺-男装,纺织服装
1021,002570.SZ,贝因美,食品饮料-食品加工-乳品,食品饮料
1022,002571.SZ,德力股份,轻工制造-家用轻工-其他家用轻工,轻工制造
1023,002572.SZ,索菲亚,轻工制造-家用轻工-家具,轻工制造
1024,002573.SZ,清新环境,公用事业-环保工程及服务Ⅱ-环保工程及服务Ⅲ,公用事业
1025,002574.SZ,明牌珠宝,轻工制造-家用轻工-珠宝首饰,轻工制造
1026,002575.SZ,*ST群兴,轻工制造-家用轻工-文娱用品,轻工制造
1027,002576.SZ,通达动力,电气设备-电机Ⅱ-电机Ⅲ,电气设备
1028,002577.SZ,雷柏科技,计算机-计算机设备Ⅱ-计算机设备Ⅲ,计算机
1029,002578.SZ,闽发铝业,有色金属-工业金属-铝,有色金属
1030,002579.SZ,中京电子,电子-元件Ⅱ-印制电路板,电子
1031,002580.SZ,圣阳股份,电气设备-电源设备-储能设备,电气设备
1032,002581.SZ,未名医药,医药生物-生物制品Ⅱ-生物制品Ⅲ,医药生物
1033,002582.SZ,好想你,食品饮料-食品加工-食品综合,食品饮料
1034,002583.SZ,海能达,通信-通信设备-终端设备,通信
1035,002584.SZ,西陇科学,化工-化学制品-其他化学制品,化工
1036,002585.SZ,双星新材,轻工制造-包装印刷Ⅱ-包装印刷Ⅲ,轻工制造
1037,002586.SZ,*ST围海,建筑装饰-基础建设-水利工程,建筑装饰
1038,002587.SZ,奥拓电子,电子-光学光电子-LED,电子
1039,002588.SZ,史丹利,化工-化学制品-复合肥,化工
1040,002589.SZ,瑞康医药,医药生物-医药商业Ⅱ-医药商业Ⅲ,医药生物
1041,002590.SZ,万安科技,汽车-汽车零部件Ⅱ-汽车零部件Ⅲ,汽车
1042,002591.SZ,恒大高新,传媒-营销传播-营销服务,传媒
1043,002592.SZ,ST八菱,汽车-汽车零部件Ⅱ-汽车零部件Ⅲ,汽车
1044,002593.SZ,日上集团,建筑装饰-专业工程-钢结构,建筑装饰
1045,002594.SZ,比亚迪,汽车-汽车整车-乘用车,汽车
1046,002595.SZ,豪迈科技,机械设备-专用设备-其它专用机械,机械设备
1047,002596.SZ,海南瑞泽,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建筑材料
1048,002597.SZ,金禾实业,化工-化学制品-其他化学制品,化工
1049,002598.SZ,山东章鼓,机械设备-通用机械-其它通用机械,机械设备
1050,002599.SZ,盛通股份,轻工制造-包装印刷Ⅱ-包装印刷Ⅲ,轻工制造
1051,002600.SZ,领益智造,电子-电子制造-电子零部件制造,电子
1052,002601.SZ,龙蟒佰利,化工-化学制品-其他化学制品,化工
1053,002602.SZ,世纪华通,传媒-互联网传媒-互联网信息服务,传媒
1054,002603.SZ,以岭药业,医药生物-中药Ⅱ-中药Ⅲ,医药生物
1055,002605.SZ,姚记科技,轻工制造-家用轻工-文娱用品,轻工制造
1056,002606.SZ,大连电瓷,电气设备-高低压设备-线缆部件及其他,电气设备
1057,002607.SZ,中公教育,传媒-文化传媒-其他文化传媒,传媒
1058,002608.SZ,江苏国信,公用事业-电力-火电,公用事业
1059,002609.SZ,捷顺科技,计算机-计算机应用-IT服务,计算机
1060,002610.SZ,爱康科技,公用事业-电力-新能源发电,公用事业
1061,002611.SZ,东方精工,机械设备-专用设备-印刷包装机械,机械设备
1062,002612.SZ,朗姿股份,纺织服装-服装家纺-女装,纺织服装
1063,002613.SZ,北玻股份,机械设备-专用设备-其它专用机械,机械设备
1064,002614.SZ,奥佳华,家用电器-白色家电-小家电,家用电器
1065,002615.SZ,哈尔斯,轻工制造-家用轻工-其他家用轻工,轻工制造
1066,002616.SZ,长青集团,公用事业-电力-新能源发电,公用事业
1067,002617.SZ,露笑科技,电气设备-电源设备-光伏设备,电气设备
1068,002618.SZ,丹邦科技,电子-元件Ⅱ-印制电路板,电子
1069,002619.SZ,艾格拉斯,传媒-互联网传媒-移动互联网服务,传媒
1070,002620.SZ,瑞和股份,建筑装饰-装修装饰Ⅱ-装修装饰Ⅲ,建筑装饰
1071,002621.SZ,美吉姆,传媒-文化传媒-其他文化传媒,传媒
1072,002622.SZ,融钰集团,电气设备-高低压设备-中压设备,电气设备
1073,002623.SZ,亚玛顿,建筑材料-玻璃制造Ⅱ-玻璃制造Ⅲ,建筑材料
1074,002624.SZ,完美世界,传媒-互联网传媒-移动互联网服务,传媒
1075,002625.SZ,光启技术,汽车-汽车零部件Ⅱ-汽车零部件Ⅲ,汽车
1076,002626.SZ,金达威,医药生物-化学制药-化学原料药,医药生物
1077,002627.SZ,宜昌交运,交通运输-公交Ⅱ-公交Ⅲ,交通运输
1078,002628.SZ,成都路桥,建筑装饰-基础建设-路桥施工,建筑装饰
1079,002629.SZ,*ST仁智,采掘-采掘服务-油气钻采服务,采掘
1080,002630.SZ,华西能源,电气设备-电源设备-火电设备,电气设备
1081,002631.SZ,德尔未来,轻工制造-家用轻工-家具,轻工制造
1082,002632.SZ,道明光学,化工-化学制品-其他化学制品,化工
1083,002633.SZ,申科股份,机械设备-通用机械-机械基础件,机械设备
1084,002634.SZ,棒杰股份,纺织服装-服装家纺-其他服装,纺织服装
1085,002635.SZ,安洁科技,电子-电子制造-电子零部件制造,电子
1086,002636.SZ,金安国纪,电子-元件Ⅱ-印制电路板,电子
1087,002637.SZ,赞宇科技,化工-化学制品-日用化学产品,化工
1088,002638.SZ,*ST勤上,传媒-文化传媒-其他文化传媒,传媒
1089,002639.SZ,雪人股份,机械设备-通用机械-制冷空调设备,机械设备
1090,002640.SZ,跨境通,商业贸易-一般零售-多业态零售,商业贸易
1091,002641.SZ,永高股份,建筑材料-其他建材Ⅱ-管材,建筑材料
1092,002642.SZ,荣联科技,计算机-计算机应用-IT服务,计算机
1093,002643.SZ,万润股份,化工-化学制品-其他化学制品,化工
1094,002644.SZ,佛慈制药,医药生物-中药Ⅱ-中药Ⅲ,医药生物
1095,002645.SZ,华宏科技,机械设备-专用设备-楼宇设备,机械设备
1096,002646.SZ,青青稞酒,食品饮料-饮料制造-其他酒类,食品饮料
1097,002647.SZ,仁东控股,非银金融-多元金融Ⅱ-多元金融Ⅲ,非银金融
1098,002648.SZ,卫星石化,化工-化学原料-其他化学原料,化工
1099,002649.SZ,博彦科技,计算机-计算机应用-IT服务,计算机
1100,002650.SZ,ST加加,食品饮料-食品加工-调味发酵品,食品饮料
1101,002651.SZ,利君股份,机械设备-专用设备-冶金矿采化工设备,机械设备
1102,002652.SZ,扬子新材,建筑材料-其他建材Ⅱ-其他建材Ⅲ,建筑材料
1103,002653.SZ,海思科,医药生物-化学制药-化学制剂,医药生物
1104,002654.SZ,万润科技,传媒-营销传播-营销服务,传媒
1105,002655.SZ,共达电声,电子-电子制造-电子系统组装,电子
1106,002656.SZ,ST摩登,纺织服装-服装家纺-男装,纺织服装
1107,002657.SZ,中科金财,计算机-计算机应用-IT服务,计算机
1108,002658.SZ,雪迪龙,公用事业-环保工程及服务Ⅱ-环保工程及服务Ⅲ,公用事业
1109,002659.SZ,凯文教育,传媒-文化传媒-其他文化传媒,传媒
1110,002660.SZ,茂硕电源,电子-电子制造-电子零部件制造,电子
1111,002661.SZ,克明面业,食品饮料-食品加工-食品综合,食品饮料
1112,002662.SZ,京威股份,汽车-汽车零部件Ⅱ-汽车零部件Ⅲ,汽车
1113,002663.SZ,普邦股份,建筑装饰-园林工程Ⅱ-园林工程Ⅲ,建筑装饰
